SNo	ObservationDate	Province	Country	LastUpdate	Confirmed	Deaths	Recovered
13502	04/09/2020	Sichuan	Mainland China	2020-04-09 23:09:19	560	3	541
13503	04/09/2020	Sint Maarten	Netherlands	2020-04-09 23:09:19	43	6	1
13504	04/09/2020	South Australia	Australia	2020-04-09 23:09:19	420	3	120
13505	04/09/2020	South Carolina	US	2020-04-09 23:09:19	2793	67	0
13506	04/09/2020	South Dakota	US	2020-04-09 23:09:19	447	6	0
13507	04/09/2020	St Martin	France	2020-04-09 23:09:19	32	2	7
13508	04/09/2020	Tasmania	Australia	2020-04-09 23:09:19	111	3	48
13509	04/09/2020	Tennessee	US	2020-04-09 23:09:19	4634	94	0
13510	04/09/2020	Texas	US	2020-04-09 23:09:19	11208	210	0
13511	04/09/2020	Tianjin	Mainland China	2020-04-09 23:09:19	182	3	152
13512	04/09/2020	Tibet	Mainland China	2020-04-09 23:09:19	1	0	1
13513	04/09/2020	Turks and Caicos Islands	UK	2020-04-09 23:09:19	8	1	0
13514	04/09/2020	Utah	US	2020-04-09 23:09:19	1856	13	0
13515	04/09/2020	Vermont	US	2020-04-09 23:09:19	628	23	0
13516	04/09/2020	Victoria	Australia	2020-04-09 23:09:19	1228	12	736
13517	04/09/2020	Virgin Islands	US	2020-04-09 23:09:19	45	1	0
13518	04/09/2020	Virginia	US	2020-04-09 23:09:19	4042	109	0
13519	04/09/2020	Washington	US	2020-04-09 23:09:19	9639	456	0
13520	04/09/2020	West Virginia	US	2020-04-09 23:09:19	514	5	0
13521	04/09/2020	Western Australia	Australia	2020-04-09 23:09:19	495	6	170
13522	04/09/2020	Wisconsin	US	2020-04-09 23:09:19	2886	111	0
13523	04/09/2020	Wyoming	US	2020-04-09 23:09:19	230	0	0
13524	04/09/2020	Xinjiang	Mainland China	2020-04-09 23:09:19	76	3	73
13525	04/09/2020	Yukon	Canada	2020-04-09 23:09:19	7	0	0
13526	04/09/2020	Yunnan	Mainland China	2020-04-09 23:09:19	184	2	173
13527	04/09/2020	Zhejiang	Mainland China	2020-04-09 23:09:19	1267	1	1235
